# q (A^-1)   I(q)
      0.00      2162909.60
      0.01      2059563.60
      0.02      1849719.93
      0.03      1565507.01
      0.04      1263934.45
      0.05       992412.82
      0.06       772710.82
      0.07       605740.10
      0.08       482802.97
      0.09       392607.17
      0.10       325608.99
      0.11       274979.64
      0.12       235955.77
      0.13       205298.89
      0.14       180797.50
      0.15       160874.40
      0.16       144420.60
      0.17       130643.55
      0.18       118955.23
      0.19       108933.78
      0.20       100256.10
      0.21        92674.67
      0.22        86000.49
      0.23        80083.94
      0.24        74813.73
      0.25        70101.61
      0.26        65872.84
      0.27        62066.70
      0.28        58629.80
      0.29        55518.87
      0.30        52698.80
      0.31        50136.18
      0.32        47800.21
      0.33        45661.64
      0.34        43694.52
      0.35        41877.64
      0.36        40194.17
      0.37        38631.35
      0.38        37178.65
      0.39        35827.73
      0.40        34571.46
      0.41        33403.73
      0.42        32319.55
      0.43        31314.58
      0.44        30385.40
      0.45        29529.69
      0.46        28745.47
      0.47        28030.65
      0.48        27382.57
      0.49        26797.35
      0.50        26270.21
