# q (A^-1)   I(q)
      0.00       252205.92
      0.01       248738.38
      0.02       242562.75
      0.03       232933.82
      0.04       220138.75
      0.05       204987.32
      0.06       188287.40
      0.07       170765.98
      0.08       153224.00
      0.09       136265.61
      0.10       120370.55
      0.11       105891.96
      0.12        92990.05
      0.13        81716.19
      0.14        72011.21
      0.15        63734.63
      0.16        56721.88
      0.17        50789.87
      0.18        45763.60
      0.19        41489.94
      0.20        37832.71
      0.21        34681.54
      0.22        31946.86
      0.23        29554.88
      0.24        27449.32
      0.25        25584.19
      0.26        23922.93
      0.27        22437.32
      0.28        21102.83
      0.29        19900.05
      0.30        18812.19
      0.31        17824.11
      0.32        16923.44
      0.33        16098.37
      0.34        15338.92
      0.35        14636.96
      0.36        13985.61
      0.37        13380.37
      0.38        12817.65
      0.39        12294.64
      0.40        11808.91
      0.41        11357.76
      0.42        10938.91
      0.43        10550.41
      0.44        10190.72
      0.45         9859.00
      0.46         9554.43
      0.47         9276.22
      0.48         9023.32
      0.49         8794.04
      0.50         8586.38
