# q (A^-1)   I(q)
      0.00     13174649.84
      0.01     11368876.49
      0.02      8494009.97
      0.03      5755533.65
      0.04      3851442.71
      0.05      2682733.76
      0.06      1957533.67
      0.07      1484343.15
      0.08      1163347.02
      0.09       937626.70
      0.10       773711.24
      0.11       651749.64
      0.12       558687.80
      0.13       486022.90
      0.14       428258.32
      0.15       381431.01
      0.16       342843.94
      0.17       310646.66
      0.18       283397.44
      0.19       260082.30
      0.20       239948.19
      0.21       222400.33
      0.22       206998.25
      0.23       193392.98
      0.24       181312.96
      0.25       170523.44
      0.26       160830.55
      0.27       152092.09
      0.28       144189.85
      0.29       137019.48
      0.30       130487.27
      0.31       124512.16
      0.32       119026.41
      0.33       113970.44
      0.34       109295.41
      0.35       104959.51
      0.36       100921.54
      0.37        97150.85
      0.38        93631.62
      0.39        90353.45
      0.40        87299.09
      0.41        84449.23
      0.42        81797.24
      0.43        79337.07
      0.44        77056.21
      0.45        74945.75
      0.46        72999.37
      0.47        71218.35
      0.48        69602.97
      0.49        68140.83
      0.50        66816.57
