# q (A^-1)   I(q)
      0.00      4770393.74
      0.01      4369717.32
      0.02      3622442.65
      0.03      2747043.70
      0.04      1982963.69
      0.05      1428064.48
      0.06      1058675.26
      0.07       815202.60
      0.08       649794.75
      0.09       532478.59
      0.10       446066.80
      0.11       380615.29
      0.12       329792.75
      0.13       289429.96
      0.14       256753.73
      0.15       229806.80
      0.16       207283.20
      0.17       188277.66
      0.18       172095.03
      0.19       158205.77
      0.20       146173.57
      0.21       135659.58
      0.22       126410.84
      0.23       118235.07
      0.24       110984.02
      0.25       104515.18
      0.26        98700.07
      0.27        93447.28
      0.28        88689.92
      0.29        84372.32
      0.30        80443.18
      0.31        76855.59
      0.32        73570.45
      0.33        70547.98
      0.34        67750.95
      0.35        65151.37
      0.36        62725.18
      0.37        60455.59
      0.38        58331.05
      0.39        56343.69
      0.40        54488.33
      0.41        52757.94
      0.42        51145.24
      0.43        49644.13
      0.44        48249.71
      0.45        46959.55
      0.46        45771.11
      0.47        44682.08
      0.48        43690.48
      0.49        42791.28
      0.50        41977.38
