# q (A^-1)   I(q)
      0.00      4369881.27
      0.01      4026938.54
      0.02      3381753.01
      0.03      2608039.64
      0.04      1911698.63
      0.05      1389936.76
      0.06      1033661.20
      0.07       795121.38
      0.08       632130.88
      0.09       516659.21
      0.10       431902.68
      0.11       367893.38
      0.12       318302.94
      0.13       278982.72
      0.14       247174.32
      0.15       220963.33
      0.16       199090.66
      0.17       180672.43
      0.18       165009.19
      0.19       151568.05
      0.20       139922.67
      0.21       129754.08
      0.22       120823.20
      0.23       112931.25
      0.24       105920.15
      0.25        99656.05
      0.26        94030.75
      0.27        88962.46
      0.28        84377.42
      0.29        80215.51
      0.30        76427.32
      0.31        72970.46
      0.32        69806.26
      0.33        66896.31
      0.34        64205.77
      0.35        61706.99
      0.36        59377.65
      0.37        57204.32
      0.38        55176.89
      0.39        53284.45
      0.40        51517.53
      0.41        49869.40
      0.42        48335.38
      0.43        46908.35
      0.44        45580.80
      0.45        44350.25
      0.46        43218.02
      0.47        42185.31
      0.48        41249.18
      0.49        40402.71
      0.50        39638.18
