# q (A^-1)   I(q)
      0.00      6155157.13
      0.01      5564225.24
      0.02      4501860.41
      0.03      3313492.62
      0.04      2333224.77
      0.05      1657160.17
      0.06      1221139.24
      0.07       937108.25
      0.08       745013.49
      0.09       609598.64
      0.10       510380.18
      0.11       435284.56
      0.12       376905.73
      0.13       330538.04
      0.14       293040.63
      0.15       262173.25
      0.16       236410.30
      0.17       214658.08
      0.18       196086.81
      0.19       180112.66
      0.20       166262.89
      0.21       154173.09
      0.22       143565.64
      0.23       134196.27
      0.24       125866.77
      0.25       118420.92
      0.26       111739.45
      0.27       105726.76
      0.28       100292.87
      0.29        95364.56
      0.30        90880.52
      0.31        86785.81
      0.32        83035.92
      0.33        79589.03
      0.34        76406.08
      0.35        73450.53
      0.36        70692.46
      0.37        68113.10
      0.38        65700.71
      0.39        63445.33
      0.40        61338.76
      0.41        59372.21
      0.42        57539.04
      0.43        55834.27
      0.44        54250.82
      0.45        52783.21
      0.46        51431.08
      0.47        50196.10
      0.48        49073.68
      0.49        48054.77
      0.50        47131.88
