# q (A^-1)   I(q)
      0.00     32033958.49
      0.01     25558118.03
      0.02     16659923.09
      0.03     10010339.37
      0.04      6281055.58
      0.05      4230828.87
      0.06      3017671.12
      0.07      2256700.31
      0.08      1756767.42
      0.09      1413336.68
      0.10      1168653.65
      0.11       986952.33
      0.12       847790.62
      0.13       739270.07
      0.14       653208.56
      0.15       583376.62
      0.16       525410.24
      0.17       476721.55
      0.18       435450.17
      0.19       400112.73
      0.20       369494.62
      0.21       342711.29
      0.22       319219.75
      0.23       298468.02
      0.24       280011.14
      0.25       263517.10
      0.26       248721.54
      0.27       235384.61
      0.28       223314.78
      0.29       212359.79
      0.30       202363.07
      0.31       193227.64
      0.32       184863.21
      0.33       177149.92
      0.34       170002.32
      0.35       163372.77
      0.36       157192.92
      0.37       151416.17
      0.38       146012.81
      0.39       140953.21
      0.40       136224.55
      0.41       131813.16
      0.42       127697.65
      0.43       123861.08
      0.44       120297.06
      0.45       116999.94
      0.46       113963.47
      0.47       111186.96
      0.48       108666.44
      0.49       106386.74
      0.50       104328.41
