# Coarse grained form factors for the 2-bead Calpha+COM scheme
# Data taken from Tong, Yang and Lu. J. Appl. Cryst. 2016, 49, 1148
# q    BB    ALA   CYS    ASP    GLU     PHE    GLY   HIS    ILE   LYS    LEU   MET    ASN     PRO   GLN    ARG    SER    THR    VAL   TRP    TYR
0.250000 10.014082 -0.525086 8.918641 10.015678 9.306292 0.038742 0.710445 12.707934 -3.328682 3.067144 -3.127132 6.960095 10.692905 -0.376567 9.918379 15.112320 4.386207 3.523101 -2.361356 6.464986 4.831040
0.260000 9.998941 -0.449216 9.000144 10.078922 9.381769 0.171180 0.818485 12.816337 -3.221410 3.155025 -3.028443 7.084166 10.768840 -0.277579 9.999879 15.194280 4.466041 3.620564 -2.265899 6.589983 4.918592
0.270000 9.997711 -0.382233 9.074656 10.135284 9.443782 0.287064 0.909303 12.904359 -3.122085 3.230604 -2.940600 7.196977 10.827039 -0.193407 10.070462 15.260187 4.534623 3.707486 -2.179025 6.703001 4.992860
0.280000 10.009943 -0.324241 9.142231 10.184330 9.493281 0.387377 0.981545 12.972216 -3.030914 3.295174 -2.862727 7.297605 10.869735 -0.123090 10.129943 15.310665 4.593320 3.783351 -2.100286 6.803447 5.056623
0.290000 10.035005 -0.275398 9.202930 10.225090 9.532084 0.474504 1.034876 13.021455 -2.947421 3.350158 -2.793585 7.385622 10.899327 -0.065897 10.178545 15.346866 4.642905 3.848478 -2.028810 6.891658 5.112462
0.300000 10.071956 -0.235494 9.256651 10.256636 9.562456 0.551989 1.070229 13.054946 -2.870385 3.397396 -2.731426 7.461417 10.918188 -0.020889 10.217286 15.370485 4.683711 3.903926 -1.963305 6.969214 5.162475
0.310000 10.119541 -0.203719 9.303193 10.278547 9.586443 0.623897 1.089673 13.076359 -2.798007 3.438942 -2.674139 7.526175 10.928475 0.013435 10.247936 15.383413 4.715903 3.951121 -1.902325 7.038694 5.208279
0.320000 10.176254 -0.178710 9.342570 10.291091 9.605369 0.693967 1.096021 13.089428 -2.728154 3.476499 -2.619616 7.581533 10.931973 0.039180 10.272529 15.387427 4.739752 3.991531 -1.844554 7.102984 5.251263
0.330000 10.240435 -0.158788 9.375259 10.295093 9.619833 0.764842 1.092347 13.097355 -2.658682 3.510925 -2.566123 7.629281 10.930015 0.058749 10.292582 15.384188 4.755836 4.026514 -1.788882 7.164543 5.292822
0.340000 10.310431 -0.142277 9.401979 10.291607 9.630086 0.837635 1.081521 13.102452 -2.587891 3.542073 -2.512530 7.671386 10.923472 0.074331 10.308479 15.375445 4.765078 4.057148 -1.734295 7.224934 5.334218
0.350000 10.384824 -0.127810 9.423110 10.281602 9.636444 0.911922 1.065886 13.105943 -2.514992 3.568990 -2.458360 7.710193 10.912846 0.087419 10.319471 15.363081 4.768546 4.083983 -1.679829 7.284683 5.376047
0.360000 10.462612 -0.114571 9.438293 10.265887 9.639472 0.986161 1.047167 13.107903 -2.440251 3.590293 -2.403706 7.748419 10.898504 0.098538 10.324393 15.348825 4.767114 4.106902 -1.624748 7.343392 5.417764
0.370000 10.543261 -0.102441 9.446711 10.245282 9.639931 1.058340 1.026580 13.107444 -2.364661 3.604584 -2.349075 7.788659 10.880870 0.107272 10.322598 15.333710 4.761254 4.125320 -1.568891 7.399965 5.457764
0.380000 10.626597 -0.092055 9.447935 10.220812 9.638604 1.126595 1.004946 13.103200 -2.289398 3.610854 -2.295240 7.832526 10.860364 0.112533 10.314411 15.317604 4.751117 4.138615 -1.512968 7.452888 5.494020
0.390000 10.712632 -0.084743 9.442708 10.193648 9.636057 1.189572 0.982639 13.093956 -2.215561 3.608847 -2.243184 7.879883 10.837014 0.112999 10.300826 15.299081 4.736838 4.146475 -1.458615 7.500487 5.524777
0.400000 10.801408 -0.082276 9.433063 10.164730 9.632455 1.246518 0.959456 13.079089 -2.144355 3.599283 -2.194102 7.928615 10.810093 0.107632 10.282824 15.275791 4.718767 4.148979 -1.408121 7.541196 5.548755
0.410000 10.892918 -0.086355 9.421649 10.134350 9.627543 1.297247 0.934627 13.058628 -2.077379 3.583843 -2.149343 7.975127 10.778225 0.096178 10.260969 15.245229 4.697400 4.146544 -1.363858 7.573899 5.564926
0.420000 10.987106 -0.097997 9.410712 10.102074 9.620890 1.342146 0.907092 13.033037 -2.016537 3.564876 -2.110184 8.015405 10.740019 0.079436 10.235575 15.205609 4.673033 4.139900 -1.327628 7.598351 5.572336
0.430000 11.083947 -0.117147 9.401289 10.067142 9.612234 1.382216 0.875905 13.002934 -1.963528 3.544906 -2.077497 8.046187 10.694807 0.059086 10.207161 15.156401 4.645438 4.130080 -1.300211 7.615503 5.570359
0.440000 11.183561 -0.142789 9.392965 10.029124 9.601684 1.419015 0.840489 12.968890 -1.919261 3.526101 -2.051510 8.065811 10.642945 0.037064 10.176702 15.098301 4.613827 4.118211 -1.281313 7.627491 5.559214
0.450000 11.286278 -0.173450 9.384176 9.988320 9.589571 1.454382 0.800613 12.931370 -1.883616 3.509871 -2.031844 8.074446 10.585539 0.014713 10.145415 15.032782 4.577212 4.105070 -1.269844 7.637136 5.540241
0.460000 11.392624 -0.207724 9.372813 9.945643 9.576055 1.489999 0.756134 12.890789 -1.855604 3.496702 -2.017802 8.073698 10.523853 -0.007876 10.114272 14.961609 4.534920 4.090678 -1.264283 7.647171 5.515673
0.470000 11.503200 -0.244477 9.356865 9.902119 9.560754 1.526981 0.706687 12.847639 -1.833684 3.486226 -2.008698 8.065830 10.458786 -0.032016 10.083592 14.886604 4.486938 4.074282 -1.262933 7.659564 5.488064
0.480000 11.618499 -0.282763 9.334920 9.858399 9.542667 1.565652 0.651518 12.802562 -1.816081 3.477451 -2.004036 8.052975 10.390646 -0.059933 10.052966 14.809569 4.433899 4.054787 -1.264116 7.675249 5.459774
0.490000 11.738704 -0.321734 9.306438 9.814611 9.520415 1.605551 0.589607 12.756228 -1.801088 3.469074 -2.003490 8.036668 10.319307 -0.093789 10.021477 14.732121 4.376812 4.031328 -1.266472 7.694295 5.432712
0.500000 11.863542 -0.360770 9.271737 9.770521 9.492630 1.645608 0.520019 12.709013 -1.787414 3.459781 -2.006774 8.017729 10.244637 -0.134615 9.988002 14.655321 4.316796 4.003620 -1.269352 7.716289 5.408261
