# q (A^-1)   I(q)
      0.00      2630420.26
      0.01      2463709.93
      0.02      2166808.79
      0.03      1781593.53
      0.04      1392742.46
      0.05      1063473.74
      0.06       813319.61
      0.07       632923.92
      0.08       504673.78
      0.09       412073.19
      0.10       343415.27
      0.11       291299.25
      0.12       250894.06
      0.13       219001.04
      0.14       193427.14
      0.15       172565.56
      0.16       155286.40
      0.17       140779.38
      0.18       128457.10
      0.19       117910.93
      0.20       108814.38
      0.21       100909.36
      0.22        93992.84
      0.23        87894.88
      0.24        82486.99
      0.25        77660.01
      0.26        73325.28
      0.27        69419.50
      0.28        65890.31
      0.29        62695.57
      0.30        59797.40
      0.31        57157.84
      0.32        54744.33
      0.33        52524.63
      0.34        50470.12
      0.35        48558.27
      0.36        46770.18
      0.37        45093.96
      0.38        43521.08
      0.39        42046.19
      0.40        40665.06
      0.41        39372.89
      0.42        38165.13
      0.43        37037.55
      0.44        35986.39
      0.45        35009.80
      0.46        34106.73
      0.47        33276.60
      0.48        32518.10
      0.49        31827.37
      0.50        31198.99
