# q (A^-1)   I(q)
      0.00      3216966.13
      0.01      2999760.02
      0.02      2576146.27
      0.03      2047381.54
      0.04      1546315.56
      0.05      1149933.39
      0.06       866812.83
      0.07       671704.54
      0.08       536229.30
      0.09       439251.20
      0.10       367565.05
      0.11       313240.05
      0.12       271124.79
      0.13       237767.51
      0.14       210819.23
      0.15       188639.15
      0.16       170130.79
      0.17       154522.56
      0.18       141238.22
      0.19       129840.97
      0.20       119970.20
      0.21       111344.53
      0.22       103757.51
      0.23        97045.20
      0.24        91080.45
      0.25        85753.21
      0.26        80970.34
      0.27        76660.48
      0.28        72759.86
      0.29        69215.79
      0.30        65985.89
      0.31        63033.33
      0.32        60329.50
      0.33        57844.41
      0.34        55547.67
      0.35        53412.72
      0.36        51419.31
      0.37        49555.57
      0.38        47813.98
      0.39        46188.09
      0.40        44672.79
      0.41        43261.40
      0.42        41947.77
      0.43        40726.10
      0.44        39591.52
      0.45        38541.23
      0.46        37573.50
      0.47        36687.23
      0.48        35880.61
      0.49        35149.77
      0.50        34489.56
